SOURCE_FILE,SOURCE_SHEET,SOURCE_ROW,DOCUMENT_TYPE,RAW_DESCRIPTION,NORMALIZED_DESCRIPTION,QUANTITY,RAW_UNIT_PRICE,PRICE_EXCL_TAX,PRICE_STATUS,IS_SERVICE,IS_FOOD,IS_MEAT,CATEGORY,UOM,IDENTITY_KEY,CURRENCY
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,18,QUOTATION,Desintalacion y desponte de condensador  de 3 Ton,desintalacion y desponte de condensador de 3 ton,1.0,6000.0,6000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,desintalacion|desponte|condensador|3|ton,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,19,QUOTATION,Desintacion de compresor de 5 ton,desintacion de compresor de 5 ton,1.0,5000.0,5000.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,desintacion|compresor|5|ton,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,23,QUOTATION,Sistema de Cuarto frio y Congelador,sistema de cuarto frio y congelador,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,sistema|cuarto|frio|congelador,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,24,QUOTATION,"Reparacion,Cambios, Instalaciones, Vacio y  Suministro",reparacion cambios instalaciones vacio y suministro,,,,MISSING_VALID_PRICE,True,False,False,Servicios,Units,reparacion|cambios|instalaciones|vacio|suministro,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,25,QUOTATION,Cambio de filtro,cambio de filtro,2.0,8000.0,8000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,cambio|filtro,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,26,QUOTATION,Cambio de Visor,cambio de visor,2.0,6500.0,6500.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,cambio|visor,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,27,QUOTATION,Instalacion de Valvula selenoide,instalacion de valvula selenoide,2.0,9500.0,9500.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,instalacion|valvula|selenoide,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,28,QUOTATION,"Instalacion de sistema digital de termometro, alarma y tiempo de entrada de compresor",instalacion de sistema digital de termometro alarma y tiempo de entrada de compresor,2.0,65000.0,65000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,instalacion|sistema|digital|termometro|alarma|tiempo|entrada|compresor,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,29,QUOTATION,Instalacion de Luz led p/cuatro de congelador e interruptor,instalacion de luz led p/cuatro de congelador e interruptor,2.0,7400.0,7400.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,instalacion|luz|led|p/cuatro|congelador|e|interruptor,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,30,QUOTATION,Instalacion de cortina en Puerta,instalacion de cortina en puerta,2.0,18300.0,18300.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,instalacion|cortina|puerta,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,31,QUOTATION,Instalacion de temporizador electronico digital Defrost c/6hrs,instalacion de temporizador electronico digital defrost c/6hrs,2.0,30000.0,30000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,instalacion|temporizador|electronico|digital|defrost|c/6hrs,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,32,QUOTATION,Intalacion de resistencias de descongelamiento de evaporador de cuarto congelador,intalacion de resistencias de descongelamiento de evaporador de cuarto congelador,2.0,6300.0,6300.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,intalacion|resistencias|descongelamiento|evaporador|cuarto|congelador,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,33,QUOTATION,Instalacion de Valvula de expansion,instalacion de valvula de expansion,2.0,15550.0,15550.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,instalacion|valvula|expansion,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,34,QUOTATION,Vacio a sistema de refrigeracion de congelador,vacio a sistema de refrigeracion de congelador,2.0,4000.0,4000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,vacio|a|sistema|refrigeracion|congelador,DOP
