RAW,NORMALIZED,IDENTITY,BRAND,IS_SERVICE,IS_FOOD,IS_MEAT
PINTURA ACRILICA BLANCA POPULAR 50,pintura acrilica blanca popular 50,pintura|acrilica|blanca|popular|50,,False,False,False
PINTURA ALTO TRANSITO (AMARILLO TRAFICO) POPULAR,pintura alto transito amarillo trafico popular,pintura|alto|transito|amarillo|trafico|popular,,False,False,False
ALAMBRE #8 AWG,alambre 8 awg,alambre|8|awg,,False,False,False
ALAMBRE #10 AWG,alambre 10 awg,alambre|10|awg,,False,False,False
ALAMBRE DE GOMA 12/3,alambre de goma 12/3,alambre|goma|12/3|12/3,,False,False,False
TAPE VINIL SCOTCH 3M SUPER33+,tape vinil scotch 3m super33,tape|vinil|scotch|3m|super33|SUPER33,,False,False,False
ALAMBRE 12/2 AWG PHELPS DODGE,alambre 12/2 awg phelps dodge,alambre|12/2|awg|phelps|dodge|12/2,,False,False,False
CANDADO DE BRONCE YALE ITALY 70MM,candado de bronce yale italy 70mm,candado|bronce|yale|italy|70|mm,,False,False,False
CAJA DE BREAKER  PLASTICO EUROPEO DE 12 CIRCUITO,caja de breaker plastico europeo de 12 circuito,caja|breaker|plastico|europeo|12|circuito,,False,False,False
CIRCUITO BREAKER DE 20 AMP,circuito breaker de 20 amp,circuito|breaker|20|amp,,False,False,False
BOMBILLOS DE COLOR ROJO MODALIDAD ESCUNFE ESTANADAR,bombillos de color rojo modalidad escunfe estanadar,bombillos|color|rojo|modalidad|escunfe|estanadar,,False,False,False
BOMBILLOS DE COLOR AZUL MODALIDAD ESCUNFE ESTANADAR,bombillos de color azul modalidad escunfe estanadar,bombillos|color|azul|modalidad|escunfe|estanadar,,False,False,False
BOMBILLOS DE COLOR BLANCO MODALIDAD ESCUNFE ESTANADAR,bombillos de color blanco modalidad escunfe estanadar,bombillos|color|blanco|modalidad|escunfe|estanadar,,False,False,False
CONTACTOR MAGNETICO DE 65 AMP,contactor magnetico de 65 amp,contactor|magnetico|65|amp,,False,False,False
SALIDA CENITAL (Roseta porcelana leviton),salida cenital roseta porcelana leviton,salida|cenital|roseta|porcelana|leviton,,False,False,False
